Genome Name / Sample Name	Strain	IMG Genome ID
Phyllobacterium sp. YR531	YR531	2511231027
Phyllobacterium sp. YR620	YR620	2690315616
Plantibacter sp. YR521	YR521	2758568592
Pleomorphomonas sp. CF100	CF100	2738543031
Polaromonas sp. CF318	CF318	2511231002
Polaromonas sp. OV174	OV174	2609459740
Polaromonas sp. YR568	YR568	2615840640
Promicromonospora sp. AC04	AC04	2738541272
Promicromonospora sp. CF082	CF082	2738543027
Promicromonospora sp. YR516	YR516	2739367654
Pseudomonas sp. GM102	GM102	2511231004
Pseudomonas sp. GM16	GM16	2511231031
Pseudomonas sp. GM17	GM17	2511231006
Pseudomonas sp. GM18	GM18	2511231007
Pseudomonas sp. GM21	GM21	2511231008
Pseudomonas sp. GM24	GM24	2511231032
Pseudomonas sp. GM25	GM25	2511231010
Pseudomonas sp. GM30	GM30	2511231011
Pseudomonas sp. GM33	GM33	2511231012
Pseudomonas sp. GM41(2012)	GM41(2012)	2511231013
Pseudomonas sp. GM48	GM48	2511231014
Pseudomonas sp. GM49	GM49	2511231015
Pseudomonas sp. GM50	GM50	2511231016
Pseudomonas sp. GM55	GM55	2511231017
Pseudomonas sp. GM60	GM60	2511231018
Pseudomonas sp. GM67	GM67	2511231019
Pseudomonas sp. GM74	GM74	2511231020
Pseudomonas sp. GM78	GM78	2511231021
Pseudomonas sp. GM79	GM79	2511231022
Pseudomonas sp. GM80	GM80	2511231023
Pseudomonas sp. GM84	GM84	2511231024
Pseudomonas sp. GV012	GV012	2738543016
Pseudomonas sp. GV021	GV021	2738541271
Pseudomonas sp. GV034	GV034	2757320411
Pseudomonas sp. GV041	GV041	2738543015
Pseudomonas sp. GV047	GV047	2738541309
Pseudomonas sp. GV054	GV054	2738543020
Pseudomonas sp. GV058	GV058	2738541282
Pseudomonas sp. GV062	GV062	2757320437
Pseudomonas sp. GV071	GV071	2738543021
Pseudomonas sp. GV077	GV077	2738541265
Pseudomonas sp. GV082	GV082	2757320413
Pseudomonas sp. GV085	GV085	2738543004
Pseudomonas sp. GV086	GV086	2757320447
Pseudomonas sp. GV087	GV087	2738541294
Pseudomonas sp. GV088	GV088	2757320529
Pseudomonas sp. GV091	GV091	2738543025
Pseudomonas sp. GV101	GV101	2757320441
Pseudomonas sp. GV105	GV105	2738541303
Pseudomonas sp. NP10-3	NP10-3	2757320523
Pseudomonas sp. NP28-5	NP28-5	2757320439
Pseudomonas sp. OK266	OK266	2609459675
Pseudomonas sp. OK272	OK272	2609459710
Pseudomonas sp. OK602	OK602	2609459712
Pseudomonas sp. OV081	OV081	2757320522
Pseudomonas sp. OV144	OV144	2757320538
Pseudomonas sp. OV184	OV184	2758568605
Pseudomonas sp. OV221	OV221	2757320533
Pseudomonas sp. OV226	OV226	2757320525
Pseudomonas sp. OV286	OV286	2757320438
Pseudomonas sp. OV341	OV341	2757320528
Pseudomonas sp. OV397	OV397	2757320432
Pseudomonas sp. OV467	OV467	2757320431
Pseudomonas sp. OV508	OV508	2757320530
Pseudomonas sp. OV529	OV529	2757320430
Pseudomonas sp. OV546	OV546	2684623003
Pseudomonas sp. OV577	OV577	2757320524
Pseudomonas sp. OV657	OV657	2757320527
Pseudomonas sp. PDC86	PDC86	2687453791
Pseudoxanthomonas sp. CF125	CF125	2615840523
Pseudoxanthomonas sp. CF385	CF385	2690315626
Pseudoxanthomonas sp. GM95	GM95	2690315633
Pseudoxanthomonas sp. YR558	YR558	2690315625
Psychrobacillus sp. OK028	OK028	2687453675
Psychrobacillus sp. OK032	OK032	2690315620
Pusillimonas sp. YR330	YR330	2739367655
Rahnella aquatilis OV588	OV588	2585427592
Rahnella aquatilis OV744	OV744	2585427591
Ralstonia sp. GV074	GV074	2757320434
Rhizobacter sp. OV335	OV335	2588253510
Rhizobium alamii YR540	YR540	2582581298
Rhizobium alamii YR584	YR584	2585427529
Rhizobium leguminosarum CF307	CF307	2585427528
Rhizobium leguminosarum OV152	OV152	2585427526
Rhizobium leguminosarum OV483	OV483	2582581299
Rhizobium leguminosarum YR374	YR374	2585427527
Rhizobium rhizogenes CF262	CF262	2585428125
Rhizobium rhizogenes CF263	CF263	2585427609
Rhizobium rhizogenes OK036	OK036	2582581316
Rhizobium rhizogenes OV677	OV677	2585427608
Rhizobium sp. AP16	AP16	2510917022
Rhizobium sp. BK068	BK068	2795386132
Rhizobium sp. BK251	BK251	2795386131
Rhizobium sp. BK315	BK315	2795386126
Rhizobium sp. BK333	BK333	2799112289
Rhizobium sp. BK376	BK376	2795386123
Rhizobium sp. BK398	BK398	2795386130
Rhizobium sp. BK418	BK418	2795386128
Rhizobium sp. BK696	BK696	2799112241
Rhizobium sp. CF048	CF048	2585427590
Rhizobium sp. CF080	CF080	2562617114
Rhizobium sp. CF097	CF097	2582581866
Rhizobium sp. CF122	CF122	2510917028
Rhizobium sp. CF142	CF142	2510917030
Rhizobium sp. CF258	CF258	2582581865
Rhizobium sp. CF394	CF394	2582581294
Rhizobium sp. GV031	GV031	2738541293
Rhizobium sp. OK494	OK494	2582581308
Rhizobium sp. OK665	OK665	2582581283
Rhizobium sp. OV201	OV201	2582581867
Rhizobium sp. PDC82	PDC82	2690315628
